artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;223773;2003;120.046;pop;0.836;6;-6.635
M83;Midnight City;243960;2011;105.013;rock, pop, metal, Dance/Electronic;0.729;11;-5.399
Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;268863;1999;129.962;pop;0.958;7;-9.664
JAY-Z;Ni**as In Paris;219333;2011;140.022;hip hop;0.858;1;-5.542
Ariana Grande;Into You;244453;2016;107.853;pop;0.734;9;-5.948
Camila Cabello;Havana (feat. Young Thug);216896;2017;104.992;pop;0.517;7;-4.323
Katy Perry;The One That Got Away;227333;2012;133.962;pop;0.792;1;-4.023
Linkin Park;Numb;185586;2003;110.018;rock, metal;0.863;9;-4.153
Mariah Carey;Loverboy;229173;2001;103.141;pop, R&B;0.79;1;-4.125
P!nk;Get the Party Started;192533;2001;128.93;pop;0.903;11;-3.267
Tom Odell;Another Love;244360;2013;122.769;pop;0.537;4;-8.532
Gavin DeGraw;In Love With a Girl;206000;2008;161.905;pop, Folk/Acoustic;0.906;3;-4.8
A Boogie Wit da Hoodie;Look Back at It;179449;2018;96.057;hip hop;0.587;3;-5.075
Creed;With Arms Wide Open;274800;1999;138.852;pop, rock, metal;0.539;0;-8.412
Mary Mary;Shackles (Praise You);198346;2000;100.46;R&B;0.834;7;-2.773
Missy Elliott;4 My People (feat. Eve);289373;2001;121.392;hip hop, pop, R&B;0.701;1;-7.503
The Script;Superheroes;245466;2014;166.996;pop, rock;0.885;3;-4.121
Drake;Headlines;235986;2011;151.894;hip hop, pop, R&B;0.566;6;-7.16
Rudimental;Waiting All Night (feat. Ella Eyre);292586;2013;174.983;pop, Dance/Electronic;0.728;6;-5.358
Zara Larsson;Ain't My Fault;224030;2017;141.153;pop, Dance/Electronic;0.782;6;-4.825
Evanescence;Call Me When You're Sober;214706;2006;93.41;metal;0.883;7;-4.094
Mustard;Pure Water (with Migos);192470;2019;202.015;hip hop, pop;0.559;0;-5.545
Avicii;Hey Brother;255093;2013;125.014;pop, Dance/Electronic;0.78;7;-4.867
Beyoncé;Sweet Dreams;208066;2008;121.949;pop, R&B;0.825;1;-5.986
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);202266;2011;110.621;pop, Dance/Electronic;0.881;9;-3.951
Lily Allen;Smile;196893;2006;95.506;pop;0.639;5;-5.938
Cassie;Me & U;192213;2006;99.99;pop, R&B;0.454;8;-4.802
G-Eazy;Me, Myself & I;251466;2015;111.995;hip hop, pop;0.674;0;-6.518
Wiley;Boasty (feat. Idris Elba);177185;2019;102.958;hip hop, Dance/Electronic;0.765;2;-5.207
Kodak Black;Tunnel Vision;268186;2017;171.853;hip hop;0.489;11;-7.724
Fergie;Fergalicious;292373;2006;129.055;pop, R&B;0.584;8;-7.72
Olly Murs;Troublemaker (feat. Flo Rida);185586;2012;106.008;pop, Dance/Electronic;0.863;0;-3.689
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;222186;2012;127.941;hip hop, pop, Dance/Electronic;0.963;2;-2.125
MIKA;Love Today;235173;2006;124.484;pop;0.913;4;-4.981
Robin Schulz;Sugar (feat. Francesco Yates);219043;2015;123.063;pop, Dance/Electronic;0.815;5;-5.098
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);157438;2010;124.996;Dance/Electronic;0.805;6;-5.005
Calvin Harris;I Need Your Love (feat. Ellie Goulding);234506;2012;124.989;hip hop, pop, Dance/Electronic;0.869;8;-5.066
Mark Ronson;Valerie (feat. Amy Winehouse) - Version Revisited;219413;2007;105.828;pop;0.844;1;-4.789
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
Scooter;The Logical Song;234116;2013;144.043;pop, Dance/Electronic;0.933;6;-6.277
Rihanna;Only Girl (In The World);235493;2010;125.906;hip hop, pop, R&B;0.716;11;-4.241
Meghan Trainor;Lips Are Movin;182666;2015;139.091;pop;0.825;7;-5.402
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);186231;2018;100.028;pop, rock;0.641;1;-4.502
Tory Lanez;LUV;228640;2016;95.109;hip hop, pop, R&B;0.541;11;-8.128
Calvin Harris;One Kiss (with Dua Lipa);214846;2018;123.994;hip hop, pop, Dance/Electronic;0.862;9;-3.24
Gary Jules;Mad World (Feat. Michael Andrews);189506;2001;174.117;pop;0.0581;3;-17.217
Adele;Chasing Pavements;210506;2008;80.045;pop, R&B;0.47;5;-6.09
Debelah Morgan;Dance with Me;220106;2000;115.005;pop, R&B;0.674;7;-7.981
Da Brat;What'chu Like (feat. Tyrese);221160;2000;99.974;hip hop, pop, R&B;0.681;10;-8.951
Doja Cat;Juicy;202333;2019;170.037;pop;0.658;0;-2.61
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);186826;2013;151.99;rock;0.924;9;-4.341
Girls Aloud;Sound Of The Underground;221426;2003;163.944;pop, Dance/Electronic;0.867;11;-5.861
Beyoncé;Irreplaceable;227853;2007;175.868;pop, R&B;0.694;7;-4.637
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;293666;2016;87.025;hip hop, pop, R&B;0.808;1;-4.749
Mumford & Sons;Little Lion Man;245173;2009;138.585;Folk/Acoustic, rock, pop;0.492;5;-8.05
Mary J. Blige;Just Fine;242133;2007;123.021;pop, R&B;0.795;11;-3.61
DJ Ötzi;Hey Baby (Radio Mix);219240;2010;135.099;pop, easy listening, Dance/Electronic;0.968;10;-3.196
Calvin Harris;Summer;224506;2014;127.962;hip hop, pop, Dance/Electronic;0.861;4;-3.565
Hoobastank;The Reason;232800;2003;82.952;pop, rock, metal;0.671;4;-4.649
Kandi;Don't Think I'm Not;243533;2000;134.007;pop, R&B;0.622;11;-8.196
Toni Braxton;He Wasn't Man Enough;261933;2000;88.009;pop, R&B;0.947;11;-1.916
Afroman;Because I Got High;197760;2001;166.01;hip hop;0.341;7;-8.56
Drake;In My Feelings;217925;2018;91.03;hip hop, pop, R&B;0.626;1;-5.833
Eminem;Sing For The Moment;339546;2002;163.961;hip hop;0.824;5;-4.164
MNEK;Never Forget You;213427;2015;145.992;Dance/Electronic;0.732;11;-5.728
Kaiser Chiefs;Everyday I Love You Less And Less;217706;2005;160.028;rock;0.956;1;-4.556
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
Ashanti;Rock Wit U (Awww Baby);209120;2003;94.998;hip hop, pop, R&B;0.797;4;-3.006
Faith Hill;There You'll Be;222120;2001;128.98;pop, country;0.511;8;-7.77
50 Cent;Ayo Technology;247946;2007;140.144;hip hop, pop;0.782;8;-5.44
Lloyd;Get It Shawty;209533;2007;128.014;hip hop, pop, R&B;0.905;5;-4.032
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;189399;2014;123.002;pop, rock;0.886;9;-5.356
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);207333;2011;95.078;hip hop, pop;0.655;0;-6.425
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);227960;2007;80.001;hip hop, pop, R&B;0.55;1;-8.137
Tom Walker;Leave a Light On;185863;2017;68.976;rock, pop;0.624;5;-5.946
Jennifer Lopez;Dance Again;237266;2012;127.974;hip hop, pop, R&B;0.867;11;-5.242
DJ Sammy;Heaven;233600;2002;137.965;pop;0.953;8;-5.601
Fall Out Boy;Centuries;228360;2015;176.042;rock;0.858;4;-2.868
Nickelback;Photograph;258920;2005;145.916;rock, metal;0.876;8;-3.756
Iggy Azalea;Black Widow;209423;2014;163.99;hip hop, pop;0.72;11;-3.753
Lady A;Just A Kiss;218840;2011;142.881;pop, country;0.639;1;-5.826
Rita Ora;R.I.P. (feat. Tinie Tempah);228026;2012;72.022;hip hop, pop, Dance/Electronic;0.831;11;-3.443
Delta Goodrem;Born to Try;251280;2003;133.838;pop;0.589;8;-6.813
Enrique Iglesias;Bailando - Spanish Version;243386;2014;90.949;pop, latin;0.792;7;-3.519
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);189693;2009;113.029;pop;0.931;2;-4.922
Christina Perri;Jar of Hearts;246587;2011;74.541;pop;0.348;3;-6.142
Drake;Over;233560;2010;100.093;hip hop, pop, R&B;0.848;7;-5.611
Truth Hurts;Addictive;226440;2002;99.271;pop, R&B;0.677;11;-6.591
Black Eyed Peas;Let's Get It Started - Spike Mix;217733;2004;104.923;hip hop, pop;0.799;11;-2.208
Soulja Boy;Turn My Swag On;206333;2008;150.154;hip hop, pop;0.712;3;-3.104
LMFAO;Sexy And I Know It;199480;2011;130.021;hip hop, pop, Dance/Electronic;0.861;7;-4.225
T-Pain;Bartender (feat. Akon);238800;2007;104.987;hip hop, pop, R&B;0.394;8;-8.539
